year,month,precip_mm,precip_accum,spi,spi_class
2020,10,196.89437429538833,3178.25705160719,0.16273505470849703,Near normal
2020,11,187.33793540130162,3022.4947043712464,-0.0759087660395539,Near normal
2020,12,485.9459945875522,3183.8824094939323,0.27739887816847963,Near normal
2021,1,383.394122606991,3388.306254029192,0.6525476149334777,Near normal
2021,2,303.50918429269444,3433.6496602783686,0.7142079196132699,Near normal
2021,3,619.6853616358604,3876.9402716576687,1.437476810097315,Moderately wet
2021,4,350.4068310558702,3918.499790584513,1.5129006958383067,Severely wet
2021,5,272.8838797968018,3750.681594896201,1.263969739369426,Moderately wet
2021,6,237.45680369303858,3612.7139246648676,0.9618058630557833,Near normal
2021,7,163.48556792052264,3453.342894123825,0.7214642159772751,Near normal
2021,8,160.15473061697494,3474.710642070523,0.7154706882030049,Near normal
2021,9,192.44113209459337,3553.5959179975894,0.8601870910507464,Near normal
2021,10,306.6229678592227,3663.3245115614236,1.0506563033769374,Moderately wet
2021,11,272.41235958523293,3748.3989357453556,1.266611883660561,Moderately wet
2021,12,261.8583202425213,3524.3112614003244,0.9364699326047355,Near normal
2022,1,269.4566652746018,3410.373804067935,0.6934436386504963,Near normal
2022,2,358.73319733247155,3465.597817107712,0.7734790807383439,Near normal
2022,3,318.81377100169715,3164.726226473549,0.20785078823892877,Near normal
2022,4,500.2190346062358,3314.5384300239148,0.4921582821377707,Near normal
2022,5,491.08403159991263,3532.7385818270254,0.8737045119490092,Near normal
2022,6,389.74154588279265,3685.0233240167795,1.0887450624791302,Moderately wet
2022,7,251.00031649743667,3772.538072593694,1.3204987296239932,Moderately wet
2022,8,204.19525545039372,3816.5785974271125,1.3225826130446887,Moderately wet
2022,9,224.55235918643118,3848.6898245189504,1.3820959536658992,Moderately wet
2022,10,418.3986264834252,3960.4654831431526,1.5567994398446556,Severely wet
2022,11,169.3608062493921,3857.4139298073114,1.4529623008355497,Moderately wet
2022,12,226.46590462601137,3822.021514190802,1.4792195758956397,Moderately wet
2023,1,392.4510112348121,3945.015860151012,1.6351216639541877,Severely wet
